Initial Config Label,Initial Config 2jj,Initial Config eig,Final Config Label,Final Config 2jj,Final Config eig,Energy (eV),Intensity (a.u.),Energy width (eV)
 1s ,5,3, 1s ,3,3,0.0099412,3.23149e-22,4.83696
 1s ,5,3, 1s ,5,2,0.0830442,1.1201800000000002e-18,4.55594
 1s ,5,3, 1s ,3,2,0.0830017,3.1833399999999996e-20,6.1123
 1s ,5,3, 1s ,7,1,0.120423,5.78569e-21,6.40603
 1s ,5,3, 1s ,5,1,0.120693,1.28746e-19,5.23361
 1s ,5,3, 1s ,3,1,0.120871,1.0913899999999999e-20,3.64849
 1s ,5,3, 1s ,1,1,0.120972,6.90958e-24,6.20751
 1s ,5,3, 2s ,5,3,7879.64,4.14147e-09,8.11458
 1s ,5,3, 2s ,3,3,7879.64,5.24442e-09,13.998
 1s ,5,3, 2s ,3,2,7879.77,1.55535e-08,13.8719
 1s ,5,3, 2s ,5,2,7879.77,1.52727e-08,7.88424
 1s ,5,3, 2s ,7,1,7879.81,9.43725e-09,13.6681
 1s ,5,3, 2s ,5,1,7879.81,2.5685e-09,8.26888
 1s ,5,3, 2s ,3,1,7879.81,4.64423e-10,7.95436
 1s ,5,3, 2s ,1,1,7879.81,9.18709e-16,14.2567
 1s ,5,3, 2p ,1,4,8027.08,3.05859e-13,3.69802
 1s ,5,3, 2p ,3,7,8027.12,0.00727813,3.00347
 1s ,5,3, 2p ,5,7,8027.12,0.00694145,3.0014
 1s ,5,3, 2p ,3,6,8027.17,0.000252465,2.32298
 1s ,5,3, 2p ,7,4,8027.17,0.00397701,2.30326
 1s ,5,3, 2p ,5,6,8027.17,0.00109283,2.29717
 1s ,5,3, 2p ,3,5,8027.21,1.95558e-05,2.30274
 1s ,5,3, 2p ,5,5,8027.21,2.36418e-05,2.31258
 1s ,5,3, 2p ,5,4,8047.17,0.00919058,2.32055
 1s ,5,3, 2p ,3,4,8047.17,0.00275593,2.3157
 1s ,5,3, 2p ,7,3,8047.17,0.0206445,2.32021
 1s ,5,3, 2p ,1,3,8047.17,9.25114e-08,2.32002
 1s ,5,3, 2p ,3,3,8047.19,0.00296575,2.33891
 1s ,5,3, 2p ,5,3,8047.2,0.00200467,2.31861
 1s ,5,3, 2p ,1,2,8047.25,1.08143e-07,3.10762
 1s ,5,3, 2p ,3,2,8047.25,2.60586e-05,2.31632
 1s ,5,3, 2p ,5,2,8047.25,8.74952e-05,2.31808
 1s ,5,3, 2p ,7,2,8047.25,0.000455586,2.3299
 1s ,5,3, 2p ,7,1,8047.28,9.19892e-05,2.32331
 1s ,5,3, 2p ,5,1,8047.28,4.4802e-05,2.32676
 1s ,5,3, 2p ,9,1,8047.28,2.67101e-07,2.33088
 1s ,5,3, 2p ,3,1,8047.28,7.95628e-06,3.06371
 1s ,5,3, 2p ,1,1,8047.28,1.43994e-09,2.32788
 1s ,5,3, 3d ,9,4,8810.49,3.95749e-12,6.13027
 1s ,5,3, 3s ,5,3,8854.0,3.84464e-10,4.15805
 1s ,5,3, 3s ,3,3,8854.0,6.6232e-10,6.59994
 1s ,5,3, 3s ,3,2,8854.16,5.07683e-10,4.45573
 1s ,5,3, 3s ,5,2,8854.16,5.80858e-10,7.34038
 1s ,5,3, 3s ,7,1,8854.2,8.52886e-11,7.3749
 1s ,5,3, 3s ,5,1,8854.2,1.10119e-10,4.50694
 1s ,5,3, 3s ,3,1,8854.2,4.74868e-11,4.4548
 1s ,5,3, 3s ,1,1,8854.2,4.69694e-17,4.45762
 1s ,5,3, 3p ,7,4,8899.81,0.000648838,4.17693
 1s ,5,3, 3p ,1,4,8900.34,1.54914e-10,4.18858
 1s ,5,3, 3p ,3,7,8900.35,0.0009422,4.20709
 1s ,5,3, 3p ,5,7,8900.35,0.000969768,4.19815
 1s ,5,3, 3p ,3,6,8900.38,6.83483e-05,4.30328
 1s ,5,3, 3p ,5,6,8900.39,0.000178045,4.08766
 1s ,5,3, 3p ,3,5,8900.52,4.69734e-05,7.04446
 1s ,5,3, 3p ,5,5,8900.52,1.24443e-05,4.35512
 1s ,5,3, 3p ,5,4,8902.77,0.00108165,4.08175
 1s ,5,3, 3p ,7,3,8902.78,0.00235592,4.11108
 1s ,5,3, 3p ,3,4,8902.78,0.00027727,6.66248
 1s ,5,3, 3p ,1,3,8902.78,6.52062e-09,4.35619
 1s ,5,3, 3p ,3,3,8902.8,0.00037875,4.31249
 1s ,5,3, 3p ,5,3,8902.8,0.000136768,6.86849
 1s ,5,3, 3p ,3,2,8903.01,3.04778e-05,4.19709
 1s ,5,3, 3p ,5,2,8903.01,0.000128717,4.1659
 1s ,5,3, 3p ,1,2,8903.01,2.47825e-08,7.24213
 1s ,5,3, 3p ,7,2,8903.01,0.000405059,6.72393
 1s ,5,3, 3p ,7,1,8903.04,3.09814e-05,4.15622
 1s ,5,3, 3p ,5,1,8903.04,4.58047e-06,4.12728
 1s ,5,3, 3p ,9,1,8903.05,4.1291e-08,4.16991
 1s ,5,3, 3p ,3,1,8903.05,6.31235e-07,4.22753
 1s ,5,3, 3p ,1,1,8903.06,4.63311e-10,4.19612
 1s ,5,3, 3d ,1,4,8973.91,4.63513e-07,1.61411
 1s ,5,3, 3d ,5,8,8978.13,4.17713e-06,1.58621
 1s ,5,3, 3d ,1,6,8978.14,2.81616e-06,1.58621
 1s ,5,3, 3d ,3,8,8978.14,3.50106e-06,1.58621
 1s ,5,3, 3d ,7,7,8978.14,1.20002e-05,1.58621
 1s ,5,3, 3d ,5,7,8978.15,4.86293e-06,1.58621
 1s ,5,3, 3d ,7,6,8978.15,7.44451e-09,1.58621
 1s ,5,3, 3d ,1,5,8978.16,5.01292e-07,1.58621
 1s ,5,3, 3d ,3,7,8978.17,2.28963e-06,1.58621
 1s ,5,3, 3d ,5,6,8978.49,2.98131e-07,1.58621
 1s ,5,3, 3d ,3,6,8978.5,2.27893e-07,1.58621
 1s ,5,3, 3d ,7,5,8978.5,1.37641e-07,1.58621
 1s ,5,3, 3d ,5,5,8978.52,2.52212e-08,1.58621
 1s ,5,3, 3d ,3,5,8978.52,4.4826e-08,1.58621
 1s ,5,3, 3d ,1,3,8978.62,1.68788e-07,1.58621
 1s ,5,3, 3d ,7,4,8978.63,2.7047e-07,1.58621
 1s ,5,3, 3d ,5,4,8978.63,9.78912e-09,1.58621
 1s ,5,3, 3d ,3,4,8978.63,2.48046e-07,1.58621
 1s ,5,3, 3d ,5,3,8978.64,9.11228e-07,1.58621
 1s ,5,3, 3d ,9,3,8978.64,3.89492e-07,1.58621
 1s ,5,3, 3d ,3,3,8978.64,6.16698e-07,1.58621
 1s ,5,3, 3d ,7,3,8978.64,7.49816e-07,1.58621
 1s ,5,3, 3d ,1,2,8978.65,2.31035e-07,1.58621
 1s ,5,3, 3d ,7,2,8978.74,2.4734e-07,1.58621
