Initial Config Label,Initial Config 2jj,Initial Config eig,Final Config Label,Final Config 2jj,Final Config eig,Energy (eV),Intensity (a.u.),Energy width (eV)
 1s ,7,3, 1s ,5,3,0.0667131383912,1.12341e-19,2.61825
 1s ,7,3, 1s ,7,2,0.160058437153,1.5666999999999999e-21,2.92987
 1s ,7,3, 1s ,5,2,0.160056670826,1.5398399999999999e-22,2.84351
 1s ,7,3, 1s ,9,1,0.160522968059,1.01555e-21,2.69784
 1s ,7,3, 1s ,7,1,0.160520855728,1.71699e-22,2.70208
 1s ,7,3, 1s ,5,1,0.160518575775,9.02015e-23,2.70523
 1s ,7,3, 1s ,3,1,0.160516629074,6.42912e-27,2.71533
 1s ,7,3, 2s ,5,3,7879.69585971,4.36102e-12,7.28989
 1s ,7,3, 2s ,7,3,7879.6958678,7.74844e-13,7.16552
 1s ,7,3, 2s ,7,2,7879.84942135,6.55724e-09,7.53825
 1s ,7,3, 2s ,5,2,7879.84941968,8.72333e-09,7.52675
 1s ,7,3, 2s ,5,1,7879.8499117,2.64715e-09,7.4229
 1s ,7,3, 2s ,3,1,7879.84990994,7.94253e-22,7.37424
 1s ,7,3, 2s ,9,1,7879.84991619,1.85439e-08,6.92757
 1s ,7,3, 2s ,7,1,7879.84991383,8.46049e-09,7.60794
 1s ,7,3, 2p ,5,7,8027.20773004,0.00368061,1.92503
 1s ,7,3, 2p ,7,7,8027.20773184,0.00277647,1.91311
 1s ,7,3, 2p ,9,4,8027.20822955,0.00782872,1.85664
 1s ,7,3, 2p ,7,6,8027.20822756,0.00356378,1.91333
 1s ,7,3, 2p ,5,6,8027.20822883,0.001117,1.9149
 1s ,7,3, 2p ,3,4,8027.20822599,1.11418e-16,1.93536
 1s ,7,3, 2p ,7,5,8027.24920761,1.33498e-08,1.90889
 1s ,7,3, 2p ,5,5,8027.24921141,6.89751e-09,1.9053
 1s ,7,3, 2p ,7,4,8047.23398636,0.00821908,1.94749
 1s ,7,3, 2p ,5,4,8047.2340038,0.00102689,1.94242
