Initial Config Label,Initial Config 2jj,Initial Config eig,Initial Config,Final Config Label,Final Config 2jj,Final Config eig,Final Config,Rate (s-1),Energy (eV)
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s2,2p,1,0,1s2 2s2 2p*1 2p4 3s2 3p*2 3p4 3d*4 3d6 4s2,3.12956E+14,8027.007130000005
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s2,2p,3,0,1s2 2s2 2p*2 2p3 3s2 3p*2 3p4 3d*4 3d6 4s2,6.11023E+14,8047.071190000002
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s2,2s,1,0,1s2 2s1 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s2,7.65216E+08,7879.5278400000025
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s2,3d,3,0,1s2 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*3 3d6 4s2,4.25409E+10,8978.252720000004
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s2,3d,5,0,1s2 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d5 4s2,6.15659E+10,8978.49826
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s2,3p,1,0,1s2 2s2 2p*2 2p4 3s2 3p*1 3p4 3d*4 3d6 4s2,4.16191E+13,8900.351260000003
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s2,3p,3,0,1s2 2s2 2p*2 2p4 3s2 3p*2 3p3 3d*4 3d6 4s2,8.15249E+13,8902.864610000004
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s2,3s,1,0,1s2 2s2 2p*2 2p4 3s1 3p*2 3p4 3d*4 3d6 4s2,1.52074E+08,8853.800500000005
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s2,4s,1,0,1s2 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1,6.26607E+06,8978.353930000005
2p,1,0,1s2 2s2 2p*1 2p4 3s2 3p*2 3p4 3d*4 3d6 4s2,2p,3,0,1s2 2s2 2p*2 2p3 3s2 3p*2 3p4 3d*4 3d6 4s2,7.57860E+04,20.06405999999697
2p,1,0,1s2 2s2 2p*1 2p4 3s2 3p*2 3p4 3d*4 3d6 4s2,3d,3,0,1s2 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*3 3d6 4s2,9.50270E+12,951.2455899999986
2p,1,0,1s2 2s2 2p*1 2p4 3s2 3p*2 3p4 3d*4 3d6 4s2,3d,5,0,1s2 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d5 4s2,4.61792E+06,951.4911299999949
2p,1,0,1s2 2s2 2p*1 2p4 3s2 3p*2 3p4 3d*4 3d6 4s2,3p,1,0,1s2 2s2 2p*2 2p4 3s2 3p*1 3p4 3d*4 3d6 4s2,1.02733E+05,873.3441299999977
2p,1,0,1s2 2s2 2p*1 2p4 3s2 3p*2 3p4 3d*4 3d6 4s2,3p,3,0,1s2 2s2 2p*2 2p4 3s2 3p*2 3p3 3d*4 3d6 4s2,1.48531E+09,875.8574799999988
