Initial Config Label,Initial Config 2jj,Initial Config eig,Initial Config,Final Config Label,Final Config 2jj,Final Config eig,Final Config,Intensity (a.u.),Energy (eV),Energy width (eV)
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s2,2p,1,0,1s2 2s2 2p*1 2p4 3s2 3p*2 3p4 3d*4 3d6 4s2,0.1341105258678149,8027.007130000005,2.4166526971969544
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s2,2p,3,0,1s2 2s2 2p*2 2p3 3s2 3p*2 3p4 3d*4 3d6 4s2,0.2618406927725619,8047.071190000002,2.2584006324449755
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s2,2s,1,0,1s2 2s1 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s2,3.2791676837148304e-07,7879.527840000002,8.678127846199192
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s2,3d,3,0,1s2 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*3 3d6 4s2,1.822998271287378e-05,8978.252720000004,1.5359822046080884
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s2,3d,5,0,1s2 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d5 4s2,2.6382735031522978e-05,8978.49826,1.5359822046080884
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s2,3p,1,0,1s2 2s2 2p*2 2p4 3s2 3p*1 3p4 3d*4 3d6 4s2,0.017834965257560727,8900.351260000003,4.402710432567627
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s2,3p,3,0,1s2 2s2 2p*2 2p4 3s2 3p*2 3p3 3d*4 3d6 4s2,0.03493573285165015,8902.864610000004,4.367250183911865
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s2,3s,1,0,1s2 2s2 2p*2 2p4 3s1 3p*2 3p4 3d*4 3d6 4s2,6.516802397404774e-08,8853.800500000005,5.22620493151299
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s2,4s,1,0,1s2 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1,2.6851887895568033e-09,8978.353930000005,1.5359822046080884
2p,1,0,1s2 2s2 2p*1 2p4 3s2 3p*2 3p4 3d*4 3d6 4s2,2p,3,0,1s2 2s2 2p*2 2p3 3s2 3p*2 3p4 3d*4 3d6 4s2,1.888078525979447e-11,20.06405999999697,1.6030889204257532
2p,1,0,1s2 2s2 2p*1 2p4 3s2 3p*2 3p4 3d*4 3d6 4s2,3d,3,0,1s2 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*3 3d6 4s2,0.0023674351211074463,951.2455899999986,0.8806704925888661
2p,1,0,1s2 2s2 2p*1 2p4 3s2 3p*2 3p4 3d*4 3d6 4s2,3d,5,0,1s2 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d5 4s2,1.1504757589384593e-09,951.4911299999948,0.8806704925888661
