Transition register 	 Shell IS 	 IS Configuration 	 IS 2JJ 	 IS eigenvalue 	 IS higher configuration 	 IS percentage 	 Shell FS 	FS Configuration 	 FS 2JJ 	 FS eigenvalue 	 FS higher configuration 	 FS percentage 	 transition energy [eV] 	 intensity 	 intensity [eV] 	 width [eV] 
0 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5d)1  	 5 	 3 	  	  	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5d)1  	 3 	 3 	   	  	 6.19070857495E-04 	 9.29802e-26 	 5.75613e-29 	 2.80901
1 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5d)1  	 5 	 3 	  	  	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5d)1  	 3 	 2 	   	  	 8.20053773702E-02 	 8.87696e-23 	 7.27958e-24 	 2.94899
2 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5d)1  	 5 	 3 	  	  	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5d)1  	 5 	 2 	   	  	 8.20677507427E-02 	 7.91594e-21 	 6.49643e-22 	 2.95025
3 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5d)1  	 5 	 3 	  	  	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5d)1  	 7 	 1 	   	  	 1.01031362363E-01 	 9.88399e-21 	 9.98593e-22 	 2.98151
4 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5d)1  	 5 	 3 	  	  	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5d)1  	 5 	 1 	   	  	 1.01178303681E-01 	 8.85963e-20 	 8.96402e-21 	 2.92778
5 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5d)1  	 5 	 3 	  	  	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5d)1  	 3 	 1 	   	  	 1.01275406358E-01 	 7.53176e-21 	 7.62782e-22 	 2.85963
6 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5d)1  	 5 	 3 	  	  	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5d)1  	 1 	 1 	   	  	 1.01330826985E-01 	 1.24656e-22 	 1.26315e-23 	 2.83762
7 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5d)1  	 5 	 3 	  	  	 2s 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1 (5d)1  	 3 	 3 	   	  	 7.87962816113E+03 	 1.23546e-11 	 9.73497e-08 	 7.62982
8 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5d)1  	 5 	 3 	  	  	 2s 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1 (5d)1  	 5 	 3 	   	  	 7.87962839131E+03 	 6.90259e-10 	 5.43898e-06 	 7.86991
9 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5d)1  	 5 	 3 	  	  	 2s 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1 (5d)1  	 3 	 2 	   	  	 7.87977094566E+03 	 1.21656e-08 	 9.58621e-05 	 7.88096
