Transition register 	 Shell IS 	 IS Configuration 	 IS 2JJ 	 IS eigenvalue 	 IS higher configuration 	 IS percentage 	 Shell FS 	FS Configuration 	 FS 2JJ 	 FS eigenvalue 	 FS higher configuration 	 FS percentage 	 transition energy [eV] 	 intensity 	 intensity [eV] 	 width [eV] 
0 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5f)1  	 5 	 3 	  	  	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5f)1  	 7 	 2 	   	  	 0.111814 	 2.35566e-23 	 2.63396e-24 	 13.6515
1 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5f)1  	 5 	 3 	  	  	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5f)1  	 5 	 2 	   	  	 0.111813 	 6.329e-24 	 7.07664e-25 	 11.9754
2 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5f)1  	 5 	 3 	  	  	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5f)1  	 9 	 1 	   	  	 0.112186 	 7.2958e-27 	 8.18487e-28 	 11.9878
3 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5f)1  	 5 	 3 	  	  	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5f)1  	 7 	 1 	   	  	 0.112185 	 1.28565e-23 	 1.44231e-24 	 15.4039
4 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5f)1  	 5 	 3 	  	  	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5f)1  	 5 	 1 	   	  	 0.112184 	 3.74327e-23 	 4.19935e-24 	 11.9654
5 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5f)1  	 5 	 3 	  	  	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5f)1  	 3 	 1 	   	  	 0.112183 	 2.55062e-23 	 2.86136e-24 	 13.5966
6 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5f)1  	 5 	 3 	  	  	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5f)1  	 7 	 3 	   	  	 0.306189 	 1.58675e-19 	 4.85845e-20 	 12.2336
7 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5f)1  	 5 	 3 	  	  	 2s 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1 (5f)1  	 7 	 3 	   	  	 7879.64 	 4.56918e-18 	 3.60035e-14 	 73.969
8 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5f)1  	 5 	 3 	  	  	 2s 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1 (5f)1  	 5 	 3 	   	  	 7879.64 	 8.46622e-15 	 6.67108e-11 	 65.2417
9 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5f)1  	 5 	 3 	  	  	 2s 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1 (5f)1  	 7 	 2 	   	  	 7879.8 	 1.40407e-09 	 1.10638e-05 	 71.5048
