Initial Config Label,Initial Config 2jj,Initial Config eig,Final Config Label,Final Config 2jj,Final Config eig,Energy (eV),Intensity (a.u.),Energy width (eV)
 1s ,3,3, 1s ,1,3,0.141946215229,3.24252e-19,3.07385
 1s ,3,3, 1s ,3,2,0.161367172386,1.56214e-17,3.07271
 1s ,3,3, 1s ,1,2,0.163194839232,8.88459e-19,3.08701
 1s ,3,3, 1s ,5,1,0.375642906304,8.00844e-21,2.89958
 1s ,3,3, 1s ,3,1,0.380566509295,5.02297e-22,3.05193
 1s ,3,3, 1s ,1,1,0.383093282737,1.3992999999999998e-21,3.11218
 1s ,3,3, 2s ,1,3,7879.58629158,4.98225e-09,8.78904
 1s ,3,3, 2s ,3,3,7879.65712177,2.76464e-08,8.42302
 1s ,3,3, 2s ,3,2,7879.83206753,2.13121e-08,8.43122
 1s ,3,3, 2s ,1,2,7879.83879435,1.6413e-08,8.23259
 1s ,3,3, 2s ,5,1,7880.05374382,3.4026e-10,7.21958
 1s ,3,3, 2s ,3,1,7880.05839499,8.74451e-11,8.65921
 1s ,3,3, 2s ,1,1,7880.06104252,1.02284e-11,7.98668
 1s ,3,3, 2p ,5,4,8022.13572083,3.00883e-07,32.3881
 1s ,3,3, 2p ,1,6,8027.07676316,0.0095841,2.27586
 1s ,3,3, 2p ,3,7,8027.07927902,0.0120159,2.31764
 1s ,3,3, 2p ,1,5,8027.41231486,5.70039e-06,2.31682
 1s ,3,3, 2p ,3,6,8027.41882825,4.02391e-05,2.28942
 1s ,3,3, 2p ,1,4,8027.44082562,6.55399e-05,2.35813
 1s ,3,3, 2p ,3,5,8027.44592637,3.18352e-06,2.25727
 1s ,3,3, 2p ,3,4,8047.13935806,0.00944597,2.34951
 1s ,3,3, 2p ,5,3,8047.14326893,0.031834,2.34248
 1s ,3,3, 2p ,1,3,8047.14504133,0.00117333,2.33119
 1s ,3,3, 2p ,1,2,8047.42811679,9.61947e-05,2.24406
