Initial Config Label,Initial Config 2jj,Initial Config eig,Initial Config,Final Config Label,Final Config 2jj,Final Config eig,Final Config,Intensity (a.u.),Energy (eV),Energy width (eV)
1s,3,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 6f*1,1s,5,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 6f1,2.1746804074479592e-34,0.0,2.875291453505255
1s,3,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 6f*1,1s,7,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 6f1,6.072623125132445e-44,0.0,2.877821210943275
1s,3,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 6f*1,1s,9,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 6f1,3.2210032566396186e-68,0.0,2.8771572202218403
1s,3,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 6f*1,2p,1,0,1s2 2s2 2p*2 2p3 3s2 3p*2 3p4 3d*4 3d6 4s1 6f*1,0.005030972638956064,8047.142359999998,2.181847154399333
1s,3,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 6f*1,2p,3,0,1s2 2s2 2p*2 2p3 3s2 3p*2 3p4 3d*4 3d6 4s1 6f1,0.006260834731864992,8047.142249999997,2.1878186613233503
1s,3,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 6f*1,2p,3,1,1s2 2s2 2p*2 2p3 3s2 3p*2 3p4 3d*4 3d6 4s1 6f1,0.0007842918580760286,8047.142029999995,2.183566452049552
1s,3,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 6f*1,2p,3,2,1s2 2s2 2p*2 2p3 3s2 3p*2 3p4 3d*4 3d6 4s1 6f*1,0.0010113344563795529,8047.059329999996,2.1602190504451095
1s,3,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 6f*1,2p,3,3,1s2 2s2 2p*1 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 6f*1,0.0020528795756662283,8027.035839999997,2.1402896883987377
1s,3,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 6f*1,2p,5,0,1s2 2s2 2p*2 2p3 3s2 3p*2 3p4 3d*4 3d6 4s1 6f1,0.00346429869767988,8047.142229999998,2.196814667763343
1s,3,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 6f*1,2p,5,1,1s2 2s2 2p*2 2p3 3s2 3p*2 3p4 3d*4 3d6 4s1 6f1,0.0012361643499993074,8047.142009999996,2.1743687525557425
