Shell IS , IS 2JJ , IS eigenvalue , Shell FS , FS 2JJ , FS eigenvalue , transition energy [eV] , rate [s-1] 
 1s ,5,3, 1s ,3,3,9.94E-03,5.19164E-06
 1s ,5,3, 1s ,5,2,8.30E-02,0.0179966
 1s ,5,3, 1s ,3,2,8.30E-02,0.000511429
 1s ,5,3, 1s ,7,1,1.20E-01,9.29518E-05
 1s ,5,3, 1s ,5,1,1.21E-01,0.00206841
 1s ,5,3, 1s ,3,1,1.21E-01,0.000175341
 1s ,5,3, 1s ,1,1,1.21E-01,1.11008E-07
 1s ,5,3, 2s ,5,3,7.88E+03,66536000
 1s ,5,3, 2s ,3,3,7.88E+03,84255800
 1s ,5,3, 2s ,3,2,7.88E+03,249880000
 1s ,5,3, 2s ,5,2,7.88E+03,245368000
 1s ,5,3, 2s ,7,1,7.88E+03,151617000
 1s ,5,3, 2s ,5,1,7.88E+03,41265000
 1s ,5,3, 2s ,3,1,7.88E+03,7461330
 1s ,5,3, 2s ,1,1,7.88E+03,14.7598
 1s ,5,3, 2p ,1,4,8.03E+03,4913.87
 1s ,5,3, 2p ,3,7,8.03E+03,116929000000000
 1s ,5,3, 2p ,5,7,8.03E+03,111520000000000
 1s ,5,3, 2p ,3,6,8.03E+03,4056060000000
 1s ,5,3, 2p ,7,4,8.03E+03,63893800000000
 1s ,5,3, 2p ,5,6,8.03E+03,17557200000000
 1s ,5,3, 2p ,3,5,8.03E+03,314180000000
 1s ,5,3, 2p ,5,5,8.03E+03,379824000000
 1s ,5,3, 2p ,5,4,8.05E+03,147654000000000
 1s ,5,3, 2p ,3,4,8.05E+03,44276200000000
 1s ,5,3, 2p ,7,3,8.05E+03,331671000000000
 1s ,5,3, 2p ,1,3,8.05E+03,1486270000
 1s ,5,3, 2p ,3,3,8.05E+03,47647100000000
 1s ,5,3, 2p ,5,3,8.05E+03,32206600000000
 1s ,5,3, 2p ,1,2,8.05E+03,1737410000
 1s ,5,3, 2p ,3,2,8.05E+03,418653000000
 1s ,5,3, 2p ,5,2,8.05E+03,1405680000000
 1s ,5,3, 2p ,7,2,8.05E+03,7319360000000
 1s ,5,3, 2p ,7,1,8.05E+03,1477880000000
 1s ,5,3, 2p ,5,1,8.05E+03,719780000000
 1s ,5,3, 2p ,9,1,8.05E+03,4291190000
 1s ,5,3, 2p ,3,1,8.05E+03,127824000000
 1s ,5,3, 2p ,1,1,8.05E+03,23133800
 1s ,5,3, 3d ,9,4,8.81E+03,63580.2
 1s ,5,3, 3s ,5,3,8.85E+03,6176730
 1s ,5,3, 3s ,3,3,8.85E+03,10640700
 1s ,5,3, 3s ,3,2,8.85E+03,8156340
 1s ,5,3, 3s ,5,2,8.85E+03,9331950
 1s ,5,3, 3s ,7,1,8.85E+03,1370230
 1s ,5,3, 3s ,5,1,8.85E+03,1769150
 1s ,5,3, 3s ,3,1,8.85E+03,762914
 1s ,5,3, 3s ,1,1,8.85E+03,0.754601
 1s ,5,3, 3p ,7,4,8.90E+03,10424100000000
 1s ,5,3, 3p ,1,4,8.90E+03,2488810
 1s ,5,3, 3p ,3,7,8.90E+03,15137200000000
 1s ,5,3, 3p ,5,7,8.90E+03,15580100000000
 1s ,5,3, 3p ,3,6,8.90E+03,1098070000000
 1s ,5,3, 3p ,5,6,8.90E+03,2860440000000
 1s ,5,3, 3p ,3,5,8.90E+03,754666000000
 1s ,5,3, 3p ,5,5,8.90E+03,199928000000
 1s ,5,3, 3p ,5,4,8.90E+03,17377500000000
 1s ,5,3, 3p ,7,3,8.90E+03,37849700000000
 1s ,5,3, 3p ,3,4,8.90E+03,4454560000000
 1s ,5,3, 3p ,1,3,8.90E+03,104759000
 1s ,5,3, 3p ,3,3,8.90E+03,6084920000000
 1s ,5,3, 3p ,5,3,8.90E+03,2197280000000
 1s ,5,3, 3p ,3,2,8.90E+03,489651000000
 1s ,5,3, 3p ,5,2,8.90E+03,2067940000000
 1s ,5,3, 3p ,1,2,8.90E+03,398151000
 1s ,5,3, 3p ,7,2,8.90E+03,6507600000000
 1s ,5,3, 3p ,7,1,8.90E+03,497741000000
 1s ,5,3, 3p ,5,1,8.90E+03,73589000000
 1s ,5,3, 3p ,9,1,8.90E+03,663373000
 1s ,5,3, 3p ,3,1,8.90E+03,10141300000
 1s ,5,3, 3p ,1,1,8.90E+03,7443460
 1s ,5,3, 3d ,1,4,8.97E+03,7446710000
 1s ,5,3, 3d ,5,8,8.98E+03,67108900000
 1s ,5,3, 3d ,1,6,8.98E+03,45243900000
 1s ,5,3, 3d ,3,8,8.98E+03,56247300000
 1s ,5,3, 3d ,7,7,8.98E+03,192793000000
 1s ,5,3, 3d ,5,7,8.98E+03,78126800000
 1s ,5,3, 3d ,7,6,8.98E+03,119602000
 1s ,5,3, 3d ,1,5,8.98E+03,8053650000
 1s ,5,3, 3d ,3,7,8.98E+03,36784700000
 1s ,5,3, 3d ,5,6,8.98E+03,4789710000
 1s ,5,3, 3d ,3,6,8.98E+03,3661290000
 1s ,5,3, 3d ,7,5,8.98E+03,2211320000
 1s ,5,3, 3d ,5,5,8.98E+03,405198000
 1s ,5,3, 3d ,3,5,8.98E+03,720166000
 1s ,5,3, 3d ,1,3,8.98E+03,2711710000
 1s ,5,3, 3d ,7,4,8.98E+03,4345310000
 1s ,5,3, 3d ,5,4,8.98E+03,157270000
 1s ,5,3, 3d ,3,4,8.98E+03,3985050000
 1s ,5,3, 3d ,5,3,8.98E+03,14639600000
 1s ,5,3, 3d ,9,3,8.98E+03,6257500000
 1s ,5,3, 3d ,3,3,8.98E+03,9907740000
 1s ,5,3, 3d ,7,3,8.98E+03,12046400000
 1s ,5,3, 3d ,1,2,8.98E+03,3711770000
 1s ,5,3, 3d ,7,2,8.98E+03,3973710000
 1s ,5,3, 3d ,5,2,8.98E+03,1886060000
 1s ,5,3, 3d ,1,1,8.98E+03,1601350
 1s ,5,3, 3d ,9,2,8.98E+03,8796040000
 1s ,5,3, 3d ,3,2,8.98E+03,930736000
 1s ,5,3, 3d ,9,1,8.98E+03,2512090000
 1s ,5,3, 3d ,7,1,8.98E+03,8800420
