Transition register 	 Shell IS 	 IS Configuration 	 IS 2JJ 	 IS eigenvalue 	 IS higher configuration 	 IS percentage 	 Shell FS 	FS Configuration 	 FS 2JJ 	 FS eigenvalue 	 FS higher configuration 	 FS percentage 	 transition energy [eV] 	 intensity 	 intensity [eV] 	 width [eV] 
0 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 3 	 3 	   	  	 0.0099412 	 3.23149e-22 	 3.21249e-24 	 4.83696
1 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 2 	   	  	 0.0830442 	 1.12018e-18 	 9.30245e-20 	 4.55594
2 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 3 	 2 	   	  	 0.0830017 	 3.18334e-20 	 2.64223e-21 	 6.1123
3 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 7 	 1 	   	  	 0.120423 	 5.78569e-21 	 6.9673e-22 	 6.40603
4 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 1 	   	  	 0.120693 	 1.28746e-19 	 1.55387e-20 	 5.23361
5 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 3 	 1 	   	  	 0.120871 	 1.09139e-20 	 1.31917e-21 	 3.64849
6 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 1 	 1 	   	  	 0.120972 	 6.90958e-24 	 8.35866e-25 	 6.20751
7 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 2s 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	   	  	 7879.64 	 4.14147e-09 	 3.26333e-05 	 8.11458
8 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 2s 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 3 	 3 	   	  	 7879.64 	 5.24442e-09 	 4.13241e-05 	 13.998
9 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 2s 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 3 	 2 	   	  	 7879.77 	 1.55535e-08 	 0.000122558 	 13.8719
10 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 2s 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 2 	   	  	 7879.77 	 1.52727e-08 	 0.000120345 	 7.88424
11 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 2s 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 7 	 1 	   	  	 7879.81 	 9.43725e-09 	 7.43637e-05 	 13.6681
12 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 2s 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 1 	   	  	 7879.81 	 2.5685e-09 	 2.02393e-05 	 8.26888
13 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 2s 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 3 	 1 	   	  	 7879.81 	 4.64423e-10 	 3.65956e-06 	 7.95436
14 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 2s 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 1 	 1 	   	  	 7879.81 	 9.18709e-16 	 7.23925e-12 	 14.2567
15 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 2p 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 1 	 4 	   	  	 8027.08 	 3.05859e-13 	 2.45515e-09 	 3.69802
16 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 2p 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 3 	 7 	   	  	 8027.12 	 0.00727813 	 58.4224 	 3.00347
17 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 2p 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 7 	   	  	 8027.12 	 0.00694145 	 55.7199 	 3.0014
18 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 2p 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 3 	 6 	   	  	 8027.17 	 0.000252465 	 2.02658 	 2.32298
19 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 2p 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 7 	 4 	   	  	 8027.17 	 0.00397701 	 31.9241 	 2.30326
