Transition register 	 Shell IS 	 IS Configuration 	 IS 2JJ 	 IS eigenvalue 	 IS higher configuration 	 IS percentage 	 Shell FS 	FS Configuration 	 FS 2JJ 	 FS eigenvalue 	 FS higher configuration 	 FS percentage 	 transition energy [eV] 	 intensity 	 intensity [eV] 	 width [eV] 
0 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (4f)1  	 7 	 3 	 4f1 1s1 2s2 3s2 4s1 2p*2 3p*2 2p4 3p4 3d*4 3d6 	  	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (4f)1  	 5 	 3 	 4f1 1s1 2s2 3s2 4s1 2p*2 3p*2 2p4 3p4 3d*4 3d6  	  	 6.67131383912E-02 	 1.12341e-19 	 7.49462e-21 	 2.61825
1 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (4f)1  	 7 	 3 	 4f1 1s1 2s2 3s2 4s1 2p*2 3p*2 2p4 3p4 3d*4 3d6 	  	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (4f)1  	 7 	 2 	 4f*1 1s1 2s2 3s2 4s1 2p*2 3p*2 2p4 3p4 3d*4 3d6  	  	 1.60058437153E-01 	 1.5667e-21 	 2.50764e-22 	 2.92987
2 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (4f)1  	 7 	 3 	 4f1 1s1 2s2 3s2 4s1 2p*2 3p*2 2p4 3p4 3d*4 3d6 	  	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (4f)1  	 5 	 2 	 4f1 1s1 2s2 3s2 4s1 2p*2 3p*2 2p4 3p4 3d*4 3d6  	  	 1.60056670826E-01 	 1.53984e-22 	 2.46462e-23 	 2.84351
3 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (4f)1  	 7 	 3 	 4f1 1s1 2s2 3s2 4s1 2p*2 3p*2 2p4 3p4 3d*4 3d6 	  	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (4f)1  	 9 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6 4f1  	  	 1.60522968059E-01 	 1.01555e-21 	 1.63019e-22 	 2.69784
4 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (4f)1  	 7 	 3 	 4f1 1s1 2s2 3s2 4s1 2p*2 3p*2 2p4 3p4 3d*4 3d6 	  	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (4f)1  	 7 	 1 	 4f1 1s1 2s2 3s2 4s1 2p*2 3p*2 2p4 3p4 3d*4 3d6  	  	 1.60520855728E-01 	 1.71699e-22 	 2.75613e-23 	 2.70208
5 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (4f)1  	 7 	 3 	 4f1 1s1 2s2 3s2 4s1 2p*2 3p*2 2p4 3p4 3d*4 3d6 	  	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (4f)1  	 5 	 1 	 4f*1 1s1 2s2 3s2 4s1 2p*2 3p*2 2p4 3p4 3d*4 3d6  	  	 1.60518575775E-01 	 9.02015e-23 	 1.4479e-23 	 2.70523
6 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (4f)1  	 7 	 3 	 4f1 1s1 2s2 3s2 4s1 2p*2 3p*2 2p4 3p4 3d*4 3d6 	  	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (4f)1  	 3 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6 4f*1  	  	 1.60516629074E-01 	 6.42912e-27 	 1.03198e-27 	 2.71533
7 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (4f)1  	 7 	 3 	 4f1 1s1 2s2 3s2 4s1 2p*2 3p*2 2p4 3p4 3d*4 3d6 	  	 2s 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1 (4f)1  	 5 	 3 	 4f1 1s2 2s1 3s2 4s1 2p*2 3p*2 2p4 3p4 3d*4 3d6  	  	 7.87969585971E+03 	 4.36102e-12 	 3.43635e-08 	 7.28989
8 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (4f)1  	 7 	 3 	 4f1 1s1 2s2 3s2 4s1 2p*2 3p*2 2p4 3p4 3d*4 3d6 	  	 2s 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1 (4f)1  	 7 	 3 	 4f1 1s2 2s1 3s2 4s1 2p*2 3p*2 2p4 3p4 3d*4 3d6  	  	 7.87969586780E+03 	 7.74844e-13 	 6.10554e-09 	 7.16552
9 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (4f)1  	 7 	 3 	 4f1 1s1 2s2 3s2 4s1 2p*2 3p*2 2p4 3p4 3d*4 3d6 	  	 2s 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1 (4f)1  	 7 	 2 	 4f*1 1s2 2s1 3s2 4s1 2p*2 3p*2 2p4 3p4 3d*4 3d6  	  	 7.87984942135E+03 	 6.55724e-09 	 5.16701e-05 	 7.53825
10 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (4f)1  	 7 	 3 	 4f1 1s1 2s2 3s2 4s1 2p*2 3p*2 2p4 3p4 3d*4 3d6 	  	 2s 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1 (4f)1  	 5 	 2 	 4f1 1s2 2s1 3s2 4s1 2p*2 3p*2 2p4 3p4 3d*4 3d6  	  	 7.87984941968E+03 	 8.72333e-09 	 6.87385e-05 	 7.52675
11 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (4f)1  	 7 	 3 	 4f1 1s1 2s2 3s2 4s1 2p*2 3p*2 2p4 3p4 3d*4 3d6 	  	 2s 	 (1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1 (4f)1  	 5 	 1 	 4f*1 1s2 2s1 3s2 4s1 2p*2 3p*2 2p4 3p4 3d*4 3d6  	  	 7.87984991170E+03 	 2.64715e-09 	 2.08591e-05 	 7.4229
